Unnamed: 0,제목,URL,신청기간,대상자,선정방법,진행기간,활동목적,참여혜택 및 기대효과,진행절차,운영방식
1,[대학일자리+] (면접 심화) 면접 하이패스 : 2025 상반기_이공 (5월 13일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=d771cbc7bdb06caab40f1481c6025502&intlNsbjtSxnCd=,2025.05.02~2025.05.12,1학년 2학년 3학년 4학년 졸업생,선착순,2025.05.13 14:00~2025.05.13 15:50,2025년 상반기 채용을 대비하여 직무/임원 모의면접을 통해 학생들의 실질적인 취업 역량을 강화하고자 함.,"- 심화 면접 역량을 강화하여 조직적합성, 직무적합성, 인성 전반적인 면접 평가요소에 대비할 수 있도록 한다.
- 입사지원서 기반 질문에 대한 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청 (입사지원서 첨부파일 추가 필수)
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:하이패스))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내
4) 참여자는 면접 빈출 문항 및 입사지원서 기반 답변 준비 
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
2,[대학일자리+] (면접 심화) 면접 하이패스 : 2025 상반기_인문 (5월 13일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=cf491d822114b959d0f17598dcd2f0b6&intlNsbjtSxnCd=,2025.05.02~2025.05.12,1학년 2학년 3학년 4학년 졸업생,선착순,2025.05.13 14:00~2025.05.13 15:50,2025년 상반기 채용을 대비하여 직무/임원 모의면접을 통해 학생들의 실질적인 취업 역량을 강화하고자 함.,"- 심화 면접 역량을 강화하여 조직적합성, 직무적합성, 인성 전반적인 면접 평가요소에 대비할 수 있도록 한다.
- 입사지원서 기반 질문에 대한 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청 (입사지원서 첨부파일 추가 필수)
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:하이패스))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내
4) 참여자는 면접 빈출 문항 및 입사지원서 기반 답변 준비 
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
3,[대학일자리+] 릴레이 직무 컨설팅 _차량기획/PM,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=f349d17a93cd5e0f081d03b6048b23ac&intlNsbjtSxnCd=,2025.04.24~2025.05.12,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
4,[대학일자리+] 릴레이 직무 컨설팅_품질관리&생산,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=45ccdc3355f02293661e058eaac64426&intlNsbjtSxnCd=,2025.04.24~2025.05.12,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
5,[대학일자리+] 릴레이 직무 컨설팅_차량설계,https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=b349dcc81969d98f7d20c9940c645e00&intlNsbjtSxnCd=,2025.04.24~2025.05.13,1학년 2학년 3학년 4학년 졸업생 대학원,선착순,2025.05.12 15:00~2025.06.09 17:00,"※ 전/현직자가 진행하는 테마별 릴레이 직무 특강 프로그램으로 직무에 대한 이해 및 취업 로드맵 설정
- 이공/생공 테마 : 반도체 및 디스플레이, 2차 전지, 자동차, 제약 및 바이오
- 인문/사회/예술 테마 : 경영지원, 기획, 미디어/콘텐츠, 특화(금융 및 공기업)
※ 진행 일자별 직무 확인 링크: https://docs.google.com/spreadsheets/u/0/d/1dF6f53w-fTLm_2j12ip_AHQOJexGcr4QnoJMIula_rc/htmlview","※ 우수참여자 혜택: 이력서용 사진 촬영, 상품권 증전, 기프티콘, 온라인 취업 강의 제공, 온라인 자소서 첨삭권 등
※ KUM 마일리지 10점(재학생에 한함)","※ QR코드 및 신청 링크 접속하여 신청 ▶교육 전 수강관련 안내 문자 발송 ▶교육수강 ▶ 현장출석체크 및 만족도 설문 참여
※ 대면으로 진행되는 강의로 경영관 302호, 법학관 102호 등 에서  진행되며 신청자에게 장소 및 수강 안내 진행 예정
※ 회차별 100명 신청 가능 하며 중복 신청 가능
  
※ 신청대상: 건국대학교 전학년 학생 및 지역청년(건국대 학생이 아니여도 가능)",위탁운영
6,[대학일자리+] (면접 기초) 면접 미리패스 : 2025 상반기 (5월 3주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=90099e099ce4995cb7c3009d3a93080d&intlNsbjtSxnCd=,2025.05.02~2025.05.14,1학년 2학년 3학년 4학년 졸업생,선착순,2025.05.13 11:00~2025.05.16 11:50,"면접 준비 기초 과정으로 “공통 질문 리스트”를 제공하여 면접이 막막하거나, 어려운 본교 학생들과 지역청년을 대상으로 기본적인 스피치 역량 강화 및 면접 기초 역량을 쌓을 수 있도록 함.","- 기초 면접 역량을 강화하여 면접 전형을 원활하게 준비할 수 있도록 한다.
- 기본 인성 질문의 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청
2) 고용24 신청 (고용24 접속->우리학교취업지원실->건국대 검색->상담예약)
3) 유선 연락으로 참여 확정 안내 
4) 첨부파일로 제공된 질문 리스트에 대한 답변 준비
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
7,[식품외식산업 인력양성 사업] '2025 맞춤형 창업 K-FOOD 인턴쉽 프로그램' (식품외식_푸드테크 기술사업화 교육),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=55c879e46f28bc78dfdb233f0d92788f&intlNsbjtSxnCd=,2025.05.05~2025.05.14,1학년 2학년 3학년 4학년 졸업생 대학원,선발,2025.05.26 00:00~2025.10.17 00:00,"□ 최종목표 : 푸드테크 스타트업 육성 및 전문인력 양성
□ 교육운영 장단기 목표
(푸드테크 산업 이해와 트렌드 습득) 푸드테크 분야의 최신 기술 동향과 시장 트렌드를 파악하고, 이를 사업화하는 데 필요한 기초적인 지식과 기술 습득 교육 
(푸드테크 스타트업 발굴·육성) 식품외식·푸드테크 분야의 유망 창업 기술과 아이디어를 보유한 예비 창업팀을 발굴·육성하여 사업성과 극대화. 스타트업으로의 성장을 위한 심화과정을 통한 연구팀의 스타트업으로서의 역량 강화 
(기업사업화 전략 및 모델) 푸드테크 기반 제품에 대한 검증 뿐만아니라 스타트업을 시작하기 위한 기업의 구조 / 자금조달 / 시장분석 / 경쟁력확보 등의 다양한 준비과정 학습
(푸드테크 창업육성시스템 고도화) 예비창업자의 지속가능한 혁신 창업을 위한 BM 고도화 및 MVP 집중 지원. 참여 연구팀 생존률 제고를 위한 지원 강화
(글로벌 시장 진출 전략 및 네트워크 형성) 글로벌 푸드테크 시장에 대한 이해를 높이고, 국제 시장에서 사업화 성공을 위한 전략 습득","❍ 참여혜택
- 기술 및 경영멘토링 지원(1:1)  
- 보조강사 지원
- 시제품 제작비
- 시험분석 및 임차료
- 장소 제공
- 교육비 무료, 교재 및 식사 제공 
- 외부경진대회 연계
- 수료증 수여
- KUM 마일리지
- 졸업논문 대체
- 우수팀 : 장학금 지급(내부 참여자만 지급), 특허출원 취득 지원",모집(5월초) ▶ 기본·심화과정(5.26~8.25) ▶ 추가모집 ▶ 모듈과정(8.25~9.19) ▶ 사업화지원 (9.22~) ▶ 우수팀 선정(10월초) ▶ 후속지원,* 참여를 원하는 분은 아래 참가신처서를 작성해서 신청서 업로드 해 주시기 바랍니다.
8,[대학일자리+] 신입생을 위한 진로 탐색 워크숍 KU 진로탐험대 (5월 3주차 모집),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=79ca38adf94a2831644728f010de3a45&intlNsbjtSxnCd=,2025.05.02~2025.05.14,1학년,선착순,2025.05.13 11:00~2025.05.16 11:50,신입생을 위한 진로 탐색 워크숍 KU 진로탐험대,2025학년도 CSP 진로탐색 교과목을 신청한 신입생들을 대상으로 비교과 프로그램을 추천하고 인문/이공 계열별로 진로 설정을 지원하는 집단 워크숍,"1) 위인전 프로그램 신청
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:KU진로탐험대))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내",대학일자리플러스사업단 컨설턴트 운영
9,[대학일자리+] (면접 심화) 면접 하이패스 : 2025 상반기_이공 (5월 16일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=f3b5ee2ec94d951c9b2aa25d15dcc412&intlNsbjtSxnCd=,2025.05.02~2025.05.15,1학년 2학년 3학년 4학년 졸업생,선착순,2025.05.16 14:00~2025.05.16 15:50,2025년 상반기 채용을 대비하여 직무/임원 모의면접을 통해 학생들의 실질적인 취업 역량을 강화하고자 함.,"- 심화 면접 역량을 강화하여 조직적합성, 직무적합성, 인성 전반적인 면접 평가요소에 대비할 수 있도록 한다.
- 입사지원서 기반 질문에 대한 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청 (입사지원서 첨부파일 추가 필수)
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:하이패스))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내
4) 참여자는 면접 빈출 문항 및 입사지원서 기반 답변 준비 
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
10,[대학일자리+] (면접 심화) 면접 하이패스 : 2025 상반기_인문 (5월 16일),https://wein.konkuk.ac.kr/ptfol/imng/comprSbjtMngt/icmpNsbjtApl/emplym/findTotPcondInfo.do?encSinbSeq=94feddd72c7cd4d91f7ec53f79523170&intlNsbjtSxnCd=,2025.05.02~2025.05.15,1학년 2학년 3학년 4학년 졸업생,선착순,2025.05.16 14:00~2025.05.16 15:50,2025년 상반기 채용을 대비하여 직무/임원 모의면접을 통해 학생들의 실질적인 취업 역량을 강화하고자 함.,"- 심화 면접 역량을 강화하여 조직적합성, 직무적합성, 인성 전반적인 면접 평가요소에 대비할 수 있도록 한다.
- 입사지원서 기반 질문에 대한 답변 방향성을 점검한다.
- 면접 태도와 스피치 역량을 향상한다.","1) 위인전 프로그램 신청 (입사지원서 첨부파일 추가 필수)
2) 고용24 신청 (고용24>취업지원>취업역량강화>우리학교 취업지원실>건국대학교 상담 예약(상담희망내용:하이패스))
3) 참여신청 완료 후 참여(대상)자에게 문자 개별 안내
4) 참여자는 면접 빈출 문항 및 입사지원서 기반 답변 준비 
5) 프로그램 당일 다대다 대면 모의면접 진행 및 피드백",대학일자리플러스사업단 컨설턴트 운영
